Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",19-01-2017,1821,2,44.8,201.204,345,3,893,116,0,378.2,0.06,7.7,3360,940,4.895628,0,44.29913
63811,Dug Well,Tiruppur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",04-07-2017,385,1,16,19.44,95,5,71,48,2.64111,177.2796,0.96,8.2,680,120,3.773679,0.5957259,62.06186
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",05-07-2017,1227,19,128,60.75,228,43,374,7,0,610,0.86,7.7,2250,570,4.15636,0,44.26625
63542,Dug Well,Tiruppur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",05-07-2017,940,20,28,94.77,185,21,298,58,0,335.5,1.31,7.6,1790,460,3.752824,0,45.25925
HP2ETR12,Bore Well,Tiruppur,Kangeyam,Rasathavalasu,"11°02'15""","77°42'50""",05-07-2017,1029,24,56,111.78,112,13,298,126,0,408.7,1.29,8.1,1730,600,1.989471,0,28.3289
HP2ETR27,Bore Well,Tiruppur,Dharapuram,Thoorampadi,"10°51'05""","77°40'30""",05-07-2017,1421,39,72,24.3,449,10,248,151,0,585.6,1.85,7.9,2550,280,11.6792,4.005979,76.95518
63536,Dug Well,Tiruppur,Dharapuram,Erasinampalayam,"10°50'36""","77°44'33""",05-07-2017,1096,17,60,85.05,143,17,199,89,0,854,1.85,7.7,1670,500,2.782728,4.005293,37.36314
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",06-07-2017,1485,105,68,121.5,207,27,319,72,0,408.7,1.49,7.4,2310,670,3.47965,0,39.00187
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",06-07-2017,420,2,38,42.525,44,15,82,60,1.008032,213.9669,1.12,7.7,770,270,1.165224,0,24.87766
63533,Dug Well,Tiruppur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",06-07-2017,1015,32,60,128.79,102,16,227,93,0,494.1,1.41,8,1860,680,1.701909,0,24.06294
HP2ETR22,Bore Well,Tiruppur,Dharapuram,Periakumarapalayam,"10°46'25""","77°18'55""",06-07-2017,2962,0.5,96,145.8,771,11,1007,593,0,671,1.15,8.1,5100,840,11.57522,0,66.26953
HP2ETR25,Bore Well,Tiruppur,Dharapuram,Thoppampatti,"10°51'25""","77°27'10""",06-07-2017,2749,41,280,213.84,247,20,780,823,0,408.7,0.87,7.4,4300,1580,2.704211,0,25.08776
HP2ETR29,Bore Well,Tiruppur,Dharapuram,Velampoondi,"10°48'40""","77°53'00""",06-07-2017,1578,15,72,106.92,304,43,355,389,0,488,1.25,7.5,2680,620,5.312438,0,49.49859
63510,Dug Well,Tiruppur,Dharapuram,Periyakumarapalayam,"10°46'25""","77°18'52""",06-07-2017,2207,91,200,199.26,199,9,596,348,0,549,0.68,7.7,3540,1320,2.383498,0,24.54641
