Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,Alk-Phen,HAR_Total,SAR,HAR_Ca,RSC,Na%
63538,Tirupur,Kangeyam,Punjathalaiyur,"10°51'20""","77°48'30""",01-01-1987,309.0,,14.0,23.0,74.0,73.0,53.0,31.0,0.0,81.0,,8.6,580.0,,,130.0,2.827833,,0.0,41.92702
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",01-01-1987,3044.0,28.0,192.0,184.0,570.0,12.0,900.0,998.0,0.0,128.0,,7.6,5080.0,,,1235.0,7.051908,,0.0,49.76314
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-01-1987,2020.0,17.0,192.0,219.0,214.0,13.0,964.0,206.0,0.0,275.0,,7.9,3800.0,,,1380.0,2.505631,,0.0,24.99339
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-01-1987,4504.0,37.0,256.0,180.0,964.0,154.0,1716.0,893.0,0.0,354.0,,7.7,7600.0,,,1380.0,11.29018,,0.0,57.08253
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-01-1987,2463.0,24.0,184.0,205.0,416.0,13.0,1170.0,232.0,0.0,275.0,,8.3,4500.0,,,1305.0,5.013681,,0.0,40.68209
63812,Tirupur,Udumalaipettai,Pallapalayam,"10°31'15""","77°13'00""",01-01-1987,901.0,25.0,36.0,50.0,212.0,10.0,308.0,26.0,0.0,293.0,,7.7,1500.0,,,295.0,5.363971,,0.0,59.92561
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-01-1987,306.0,14.0,42.0,16.0,44.0,4.0,28.0,12.0,0.0,195.0,,7.6,530.0,,,170.0,1.465172,,0.0,35.25431
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-01-1987,519.0,3.0,38.0,41.0,94.0,14.0,82.0,43.0,0.0,390.0,,7.8,1000.0,,,265.0,2.518805,,1.122416,42.07839
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-01-1987,439.0,14.0,32.0,33.0,74.0,15.0,78.0,29.0,24.0,183.0,,8.3,800.0,,,215.0,2.192044,,0.0,40.66772
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-07-1987,277.0,12.0,48.0,21.0,16.0,7.0,36.0,14.0,24.0,116.0,,7.9,490.0,,,205.0,0.4846937,,0.0,13.92344
63501,Tirupur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",01-07-1987,248.0,1.0,26.0,21.0,46.0,11.0,4.0,21.0,0.0,226.0,,7.9,520.0,,,150.0,1.626798,,0.678858,37.69709
63502,Tirupur,Dharapuram,Dasarapatty,"10°40'50""","77°21'35""",01-07-1987,261.0,,52.0,17.0,18.0,10.0,25.0,20.0,0.0,238.0,,7.5,510.0,,,200.0,0.554052,,0.0,15.55744
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",01-07-1987,1593.0,2.0,80.0,114.0,329.0,41.0,624.0,197.0,0.0,397.0,,7.9,2920.0,,,670.0,5.534241,,0.0,49.80659
63506,Tirupur,Dharapuram,Dharapuram,"10°45'55""","77°31'30""",01-07-1987,945.0,78.0,78.0,50.0,136.0,7.0,220.0,34.0,0.0,146.0,,8.0,1400.0,,,400.0,2.956543,,0.0,41.95007
63508,Tirupur,Dharapuram,Koneripatti,"10°42'15""","77°36'00""",01-07-1987,451.0,,22.0,33.0,113.0,16.0,45.0,42.0,42.0,275.0,,8.8,940.0,,,190.0,3.559605,,2.094201,53.7897
63509,Tirupur,Dharapuram,Ponnivadi,"10°41'55""","77°38'45""",01-07-1987,1619.0,63.0,148.0,105.0,223.0,31.0,432.0,288.0,0.0,226.0,,7.8,2730.0,,,800.0,3.426651,,0.0,36.57738
63511,Tirupur,Dharapuram,Marudur,"10°45'50""","77°22'35""",01-07-1987,676.0,31.0,58.0,73.0,55.0,14.0,128.0,72.0,30.0,220.0,,8.3,1170.0,,,445.0,1.133995,,0.0,20.53192
63512,Tirupur,Dharapuram,Sadayapalayam,"10°48'15""","77°22'40""",01-07-1987,420.0,1.0,22.0,21.0,104.0,7.0,50.0,58.0,48.0,207.0,,8.4,750.0,,,140.0,3.805666,,2.167044,60.0864
63513,Tirupur,Dharapuram,Rangampalayam,"10°46'25""","77°27'20""",01-07-1987,274.0,1.0,26.0,21.0,44.0,10.0,36.0,24.0,0.0,214.0,,7.8,510.0,,,150.0,1.556068,,0.4821625,36.8394
63516,Tirupur,Dharapuram,Pallapalayam,"10°47'50""","77°32'40""",01-07-1987,301.0,,20.0,22.0,64.0,8.0,50.0,30.0,30.0,153.0,,8.6,590.0,,,140.0,2.349243,,0.6994371,48.02308
63517,Tirupur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",01-07-1987,964.0,42.0,84.0,50.0,117.0,84.0,227.0,67.0,30.0,238.0,,8.3,1580.0,,,415.0,2.497232,,0.0,32.74057
63518,Tirupur,Dharapuram,S.K.Palayam,"10°49'40""","77°35'10""",01-07-1987,958.0,12.0,40.0,86.0,170.0,11.0,195.0,216.0,48.0,281.0,,8.0,1620.0,,,455.0,3.4718,,0.0,44.14976
63519,Tirupur,Dharapuram,Peranium,"10°48'40""","77°37'45""",01-07-1987,256.0,,12.0,27.0,44.0,10.0,43.0,26.0,42.0,104.0,,8.6,490.0,,,140.0,1.611609,,0.2840672,38.35236
63520,Tirupur,Dharapuram,Polarai,"10°45'55""","77°40'05""",01-07-1987,583.0,21.0,52.0,66.0,46.0,5.0,46.0,108.0,42.0,250.0,,8.3,1020.0,,,400.0,0.9988188,,0.0,19.70382
63522,Tirupur,Dharapuram,Mulanur,"10°47'40""","77°42'25""",01-07-1987,1934.0,6.0,332.0,168.0,7.0,9.0,92.0,1224.0,0.0,153.0,,7.2,3100.0,,,1520.0,0.0781,,0.0,0.984505
63526,Tirupur,Dharapuram,Nanjaikalipalayam,"10°50'00""","77°50'00""",01-07-1987,679.0,10.0,30.0,60.0,85.0,72.0,121.0,52.0,0.0,427.0,,8.0,1160.0,,,320.0,2.061315,,0.564671,30.87969
63528,Tirupur,Dharapuram,Karilingampalayam,"10°50'30""","77°18'20""",01-07-1987,502.0,32.0,40.0,41.0,60.0,10.0,60.0,20.0,0.0,256.0,,8.2,820.0,,,270.0,1.592737,,0.0,31.68983
