Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,Alk-Phen,HAR_Total,SAR,HAR_Ca,RSC,Na%
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-08-1997,1452.0,11.0,64.0,158.0,235.0,20.0,539.0,197.0,0.0,378.0,,8.0,2400.0,,,810.0,3.592131,,0.0,37.95904
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",01-08-1997,421.0,3.0,22.0,26.0,104.0,4.0,117.0,38.0,12.0,171.0,,8.4,720.0,,,160.0,3.555622,,0.0,57.52881
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-08-1997,5287.0,7.0,220.0,182.0,1426.0,98.0,2162.0,960.0,0.0,415.0,,8.0,8600.0,,,1300.0,17.21808,,0.0,68.54664
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-08-1997,1665.0,25.0,164.0,73.0,345.0,12.0,638.0,144.0,0.0,354.0,,8.2,2700.0,,,710.0,5.633595,,0.0,50.86137
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-08-1997,352.0,3.0,30.0,46.0,35.0,0.0,67.0,34.0,18.0,220.0,,8.6,630.0,,,265.0,0.9367697,,0.0,22.37266
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-08-1997,1545.0,32.0,24.0,90.0,391.0,39.0,496.0,173.0,36.0,305.0,,8.6,2200.0,,,430.0,8.200046,,0.0,63.91738
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-08-1997,730.0,17.0,40.0,32.0,161.0,20.0,160.0,48.0,6.0,378.0,,8.3,1150.0,,,230.0,4.60302,,1.766498,57.66698
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",01-02-1998,337.0,3.0,28.0,34.0,35.0,20.0,99.0,14.0,0.0,189.0,,8.1,470.0,,,210.0,1.051176,,0.0,24.44048
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-02-1998,652.0,18.0,16.0,54.0,138.0,16.0,110.0,67.0,60.0,220.0,,8.6,1000.0,,,260.0,3.707745,,0.3640714,51.50775
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-02-1998,1769.0,28.0,56.0,232.0,207.0,23.0,780.0,288.0,0.0,116.0,,8.2,3150.0,,,1100.0,2.721904,,0.0,28.60439
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-02-1998,90.0,,20.0,6.0,5.0,0.0,80.0,10.0,0.0,61.0,,8.2,140.0,,,75.0,0.25182,,0.0,12.72366
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",01-02-1998,1600.0,45.0,176.0,68.0,210.0,23.0,652.0,192.0,0.0,61.0,,8.0,2400.0,,,720.0,3.406722,,0.0,37.89989
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-02-1998,1139.0,43.0,72.0,19.0,288.0,16.0,404.0,72.0,30.0,92.0,,8.4,1700.0,,,260.0,7.801695,,0.0,69.23775
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",01-02-1998,1454.0,35.0,72.0,27.0,386.0,43.0,581.0,144.0,0.0,92.0,,8.2,2100.0,,,290.0,9.846787,,0.0,70.82981
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-02-1998,4069.0,28.0,200.0,126.0,1058.0,39.0,1560.0,864.0,0.0,195.0,,8.0,6600.0,,,1020.0,14.4275,,0.0,68.31281
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-02-1998,86.0,1.0,14.0,6.0,5.0,8.0,25.0,10.0,0.0,24.0,,8.2,150.0,,,60.0,0.2816691,,0.0,13.47092
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-02-1998,2064.0,28.0,56.0,97.0,357.0,254.0,610.0,432.0,30.0,207.0,,8.4,3200.0,,,540.0,6.689712,,0.0,47.34098
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-07-1998,637.0,8.0,16.0,52.0,131.0,16.0,113.0,120.0,36.0,232.0,,8.9,1090.0,,,255.0,3.576258,,0.0,50.94555
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-07-1998,913.0,27.0,28.0,73.0,175.0,23.0,191.0,144.0,36.0,250.0,,8.7,1510.0,,,370.0,3.956168,,0.0,48.78072
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-07-1998,165.0,1.0,30.0,13.0,7.0,8.0,25.0,24.0,6.0,92.0,,8.3,300.0,,,130.0,0.2687657,,0.0,9.898696
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-07-1998,407.0,6.0,30.0,36.0,58.0,12.0,110.0,29.0,18.0,177.0,,8.6,720.0,,,225.0,1.689524,,0.0,34.6105
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",01-07-1998,845.0,1.0,60.0,57.0,143.0,35.0,372.0,96.0,6.0,140.0,,8.3,1440.0,,,385.0,3.173235,,0.0,42.02795
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-07-1998,3293.0,50.0,176.0,165.0,414.0,438.0,1035.0,787.0,6.0,98.0,,8.3,5200.0,,,1120.0,5.385634,,0.0,34.91863
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-07-1998,1145.0,28.0,56.0,80.0,235.0,16.0,376.0,149.0,0.0,238.0,,8.2,1950.0,,,470.0,4.720625,,0.0,51.08702
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-07-1998,328.0,1.0,28.0,24.0,37.0,39.0,74.0,19.0,12.0,177.0,,8.6,580.0,,,170.0,1.239429,,0.0,26.91706
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-07-1998,511.0,14.0,24.0,33.0,101.0,16.0,128.0,43.0,18.0,171.0,,8.6,860.0,,,175.0,3.140757,,0.0,50.40624
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",01-01-1999,136.0,,26.0,10.0,0.0,16.0,21.0,5.0,18.0,79.0,,8.6,260.0,,,105.0,0.0,,0.0,0.0
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-01-1999,856.0,28.0,34.0,55.0,161.0,35.0,138.0,120.0,36.0,305.0,,8.6,1370.0,,,310.0,3.970269,,0.0,49.59398
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-01-1999,3385.0,42.0,472.0,258.0,278.0,63.0,1503.0,576.0,0.0,98.0,,8.1,6470.0,,,2240.0,2.555384,,0.0,20.67449
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-01-1999,216.0,,38.0,10.0,7.0,31.0,32.0,10.0,24.0,128.0,,8.5,360.0,,,135.0,0.2611268,,0.1788127,7.977796
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",01-01-1999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.8,2670.0,,,0.0,,,0.0,
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-01-1999,516.0,14.0,40.0,49.0,60.0,16.0,177.0,24.0,24.0,128.0,,8.6,870.0,,,300.0,1.503258,,0.0,28.84652
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",01-01-1999,1111.0,13.0,110.0,28.0,209.0,43.0,454.0,144.0,0.0,134.0,,8.1,1790.0,,,390.0,4.605284,,0.0,50.54929
63808,Tirupur,Udumalaipettai,Devanampudur,"10°33'00""","77°05'35""",01-01-1999,1477.0,42.0,52.0,78.0,262.0,117.0,376.0,288.0,54.0,128.0,,8.7,2360.0,,,450.0,5.368269,,0.0,48.69756
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-01-1999,3610.0,56.0,144.0,68.0,966.0,70.0,1078.0,960.0,12.0,128.0,,8.3,5540.0,,,640.0,16.62108,,0.0,74.24981
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-01-1999,1328.0,56.0,68.0,63.0,278.0,23.0,397.0,144.0,18.0,127.0,,8.4,1920.0,,,430.0,5.839019,,0.0,56.88295
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-01-1999,276.0,6.0,30.0,21.0,25.0,20.0,57.0,19.0,18.0,122.0,,8.7,460.0,,,160.0,0.8563313,,0.0,22.54149
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-01-1999,2391.0,42.0,56.0,102.0,612.0,43.0,652.0,624.0,12.0,207.0,,8.6,3830.0,,,560.0,11.25523,,0.0,68.41853
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-01-1999,439.0,14.0,30.0,22.0,87.0,16.0,99.0,10.0,24.0,177.0,,8.5,720.0,,,165.0,2.942729,,0.3937764,50.45047
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",01-07-1999,899.0,28.0,40.0,66.0,156.0,20.0,138.0,158.0,78.0,238.0,,8.5,1360.0,,,370.0,3.521212,,0.0,46.08437
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-07-1999,3936.0,42.0,816.0,345.0,42.0,35.0,2226.0,240.0,0.0,92.0,,8.1,6690.0,,,3490.0,0.3107798,,0.0,2.543223
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-07-1999,312.0,3.0,46.0,29.0,19.0,8.0,53.0,48.0,30.0,134.0,,8.4,560.0,,,235.0,0.5401554,,0.0,14.46608
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",01-07-1999,1210.0,4.0,116.0,95.0,138.0,27.0,475.0,300.0,0.0,79.0,,8.2,2040.0,,,680.0,2.301381,,0.0,29.57042
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-07-1999,3863.0,5.0,240.0,126.0,702.0,102.0,1361.0,1248.0,24.0,79.0,,8.3,6370.0,,,1120.0,9.135284,,0.0,55.02887
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-07-1999,1095.0,16.0,60.0,35.0,253.0,20.0,262.0,288.0,54.0,104.0,,8.5,1580.0,,,295.0,6.421248,,0.0,63.27994
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-07-1999,355.0,3.0,68.0,24.0,35.0,20.0,35.0,0.0,60.0,201.0,,8.6,670.0,,,270.0,0.92923,,0.0,20.5665
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-07-1999,2215.0,36.0,16.0,97.0,483.0,94.0,532.0,272.0,66.0,189.0,,8.6,3310.0,,,440.0,10.02698,,0.0,65.25871
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-07-1999,663.0,17.0,78.0,28.0,113.0,20.0,117.0,72.0,48.0,226.0,,8.4,1070.0,,,310.0,2.792412,,0.0,42.28727
HP2CBE03,Tirupur,Avinashi,Alathur,"11°17'30""","77°10'00""",25-01-2000,790.0,14.0,78.0,37.2,133.0,27.0,142.0,96.0,0.0,213.5,,8.0,1300.0,350.0,0.0,350.0,,195.0,,
HP1CBE05,Tirupur,Palladam,Puliyampatti,"10°56'00""","77°13'15""",23-02-2000,726.0,,74.0,49.2,83.0,43.0,89.0,72.0,0.0,259.25,,7.9,1250.0,425.0,0.0,390.0,,185.0,,
HP1CBE08,Tirupur,Tirupur,Vadamalai vellarasipalaya,"10°53'30""","77°21'00""",28-02-2000,1424.0,15.0,128.0,187.2,21.0,70.0,220.0,528.0,0.0,198.25,,8.0,2340.0,325.0,0.0,1100.0,,320.0,,
HP2CBE18,Tirupur,Tirupur,Avinahsi palayam south,"10°58'00""","77°27'45""",28-02-2000,110.0,1.0,22.0,4.8,7.0,8.0,18.0,10.0,12.0,42.8,,8.3,190.0,55.0,10.0,75.0,,55.0,,
HP2CBE21,Tirupur,Tirupur,Alagumalai,"11°00'45""","77°27'00""",28-02-2000,377.0,3.0,20.0,50.4,39.0,20.0,53.0,14.0,30.0,244.5,,8.3,690.0,275.0,25.0,260.0,,50.0,,
HP2CBE29,Tirupur,Udumalaipettai,Somavarampatty,"10°41'00""","77°12'30""",28-02-2000,1530.0,8.3,176.0,60.0,248.0,35.0,503.0,360.0,0.0,109.8,,8.1,2460.0,180.0,0.0,690.0,,440.0,,
HP2CBE33,Tirupur,Udumalaipettai,Vellore,"10°46'30""","77°10'15""",28-02-2000,506.0,,82.0,18.0,62.0,23.0,50.0,120.0,54.0,195.1,,8.4,880.0,250.0,45.0,280.0,,205.0,,
HP2CBE04,Tirupur,Avinashi,Thathanur,"11°18'20""","77°16'40""",29-02-2000,1034.0,22.0,108.0,67.2,138.0,31.0,348.0,96.0,0.0,146.4,,8.0,1760.0,240.0,0.0,550.0,,270.0,,
HP2CBE30,Tirupur,Madathukulam,Metrathi,"10°39'20""","77°20'20""",07-03-2000,718.0,2.1,42.0,40.8,120.0,63.0,167.0,120.0,0.0,152.5,,8.1,1230.0,250.0,0.0,275.0,,105.0,,
HP1CBE04,Tirupur,Palladam,Pulliappampalayam,"10°56'00""","77°16'30""",08-03-2000,961.0,14.0,56.0,80.4,143.0,51.0,323.0,62.0,0.0,183.0,,8.1,1680.0,300.0,0.0,475.0,,140.0,,
HP2CBE32,Tirupur,Madathukulam,Madathukulam,"10°33'30""","77°22'00""",09-03-2000,384.0,1.3,30.0,19.2,51.0,55.0,53.0,24.0,42.0,197.3,,8.7,640.0,240.0,35.0,155.0,,75.0,,
HP2CBE31,Tirupur,Madathukulam,Kallapuram,"10°26'30""","77°18'25""",12-03-2000,548.0,,50.0,30.0,67.0,63.0,60.0,48.0,0.0,204.35,,8.1,930.0,335.0,0.0,250.0,,125.0,,
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",17-05-2000,53.0,,4.0,6.0,3.0,4.0,21.0,2.0,0.0,9.15,0.29,8.2,90.0,15.0,0.0,35.0,,10.0,,
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",25-05-2000,1143.0,3.0,252.0,19.2,129.0,14.0,489.0,96.0,48.0,196.2,1.7,8.4,1930.0,245.0,40.0,710.0,,630.0,,
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",11-07-2000,130.0,,20.0,10.8,2.0,20.0,14.0,5.0,6.0,88.9,,8.4,220.0,95.0,5.0,95.0,,50.0,,
HP1CBE05,Tirupur,Palladam,Puliyampatti,"10°56'00""","77°13'15""",11-07-2000,619.0,7.0,106.0,40.8,37.0,31.0,89.0,44.0,54.0,340.1,2.8,8.3,1080.0,395.0,45.0,435.0,,265.0,,
HP1CBE08,Tirupur,Tirupur,Vadamalai vellarasipalaya,"10°53'30""","77°21'00""",12-07-2000,903.0,14.0,90.0,30.0,184.0,4.0,103.0,216.0,0.0,213.5,1.1,8.2,1500.0,350.0,0.0,350.0,,225.0,,
HP2CBE03,Tirupur,Avinashi,Alathur,"11°17'30""","77°10'00""",12-07-2000,726.0,6.0,100.0,58.8,23.0,86.0,152.0,52.0,0.0,228.75,0.63,8.2,1300.0,375.0,0.0,495.0,,250.0,,
HP2CBE04,Tirupur,Avinashi,Thathanur,"11°18'20""","77°16'40""",12-07-2000,1248.0,14.0,74.0,46.8,225.0,117.0,355.0,206.0,0.0,161.65,0.53,8.2,2000.0,265.0,0.0,380.0,,185.0,,
HP2CBE12,Tirupur,Palladam,Samalapuram,"11°14'00""","77°12'00""",12-07-2000,542.0,2.0,18.0,25.2,140.0,23.0,82.0,47.0,42.0,282.3,6.2,8.6,950.0,325.0,35.0,150.0,,45.0,,
HP2CBE18,Tirupur,Tirupur,Avinahsi palayam south,"10°58'00""","77°27'45""",12-07-2000,352.0,4.0,46.0,38.4,23.0,8.0,35.0,17.0,24.0,245.6,1.4,8.5,640.0,270.0,20.0,275.0,,115.0,,
HP2CBE19,Tirupur,Tirupur,Veerapandi,"11°04'45""","77°21'00""",12-07-2000,383.0,7.0,70.0,37.2,14.0,4.0,35.0,23.0,0.0,167.75,1.2,8.2,700.0,275.0,0.0,330.0,,175.0,,
HP2CBE21,Tirupur,Tirupur,Alagumalai,"11°00'45""","77°27'00""",12-07-2000,311.0,4.0,40.0,28.8,16.0,23.0,39.0,17.0,24.0,185.6,1.3,8.5,560.0,210.0,20.0,220.0,,100.0,,
HP1CBE04,Tirupur,Palladam,Pulliappampalayam,"10°56'00""","77°16'30""",20-07-2000,275.0,4.0,34.0,30.0,23.0,8.0,50.0,14.0,30.0,144.5,0.84,8.4,500.0,175.0,25.0,210.0,,85.0,,
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",22-07-2000,649.0,21.0,60.0,21.6,122.0,20.0,106.0,101.0,60.0,144.0,3.4,8.3,1020.0,205.0,50.0,240.0,,150.0,,
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",22-07-2000,929.0,21.0,100.0,21.6,106.0,125.0,206.0,144.0,30.0,189.5,0.41,8.4,1450.0,220.0,25.0,340.0,,250.0,,
63805,Tirupur,Udumalaipettai,Ponneri,"10°38'25""","77°16'05""",22-07-2000,218.0,1.0,50.0,12.0,2.0,8.0,18.0,10.0,12.0,152.8,0.68,8.3,390.0,165.0,10.0,175.0,,125.0,,
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",22-07-2000,909.0,3.0,130.0,37.2,106.0,28.0,82.0,360.0,0.0,152.5,1.2,8.0,1480.0,250.0,0.0,480.0,,325.0,,
HP2CBE29,Tirupur,Udumalaipettai,Somavarampatty,"10°41'00""","77°12'30""",22-07-2000,620.0,6.0,32.0,40.8,113.0,16.0,110.0,192.0,24.0,125.6,3.7,8.4,1010.0,150.0,20.0,250.0,,80.0,,
HP2CBE31,Tirupur,Madathukulam,Kallapuram,"10°26'30""","77°18'25""",22-07-2000,416.0,1.4,68.0,19.2,28.0,31.0,28.0,14.0,0.0,183.0,0.1,7.8,710.0,300.0,0.0,250.0,,170.0,,
HP2CBE33,Tirupur,Udumalaipettai,Vellore,"10°46'30""","77°10'15""",22-07-2000,1305.0,14.0,26.0,31.2,363.0,16.0,78.0,576.0,30.0,219.5,2.4,8.5,1960.0,250.0,25.0,195.0,,65.0,,
63808,Tirupur,Udumalaipettai,Devanampudur,"10°33'00""","77°05'35""",23-07-2000,2089.0,49.0,192.0,115.2,340.0,35.0,666.0,360.0,0.0,161.65,1.6,8.2,3490.0,265.0,0.0,960.0,,480.0,,
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",23-07-2000,1890.0,39.0,40.0,67.2,426.0,149.0,390.0,384.0,42.0,382.3,,8.6,2980.0,425.0,35.0,380.0,,100.0,,
63812,Tirupur,Udumalaipettai,Pallapalayam,"10°31'15""","77°13'00""",23-07-2000,796.0,7.0,40.0,36.0,184.0,27.0,106.0,144.0,0.0,225.7,1.8,8.1,1290.0,370.0,0.0,250.0,,100.0,,
63813,Tirupur,Udumalaipettai,Dhali,"10°30'30""","77°11'35""",23-07-2000,528.0,2.0,68.0,25.2,90.0,8.0,135.0,47.0,0.0,146.4,1.0,7.8,940.0,240.0,0.0,275.0,,170.0,,
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",23-07-2000,454.0,4.2,48.0,26.4,74.0,8.0,85.0,72.0,0.0,122.0,0.82,8.1,800.0,200.0,0.0,230.0,,120.0,,
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",23-07-2000,2045.0,41.0,160.0,33.6,437.0,133.0,425.0,312.0,0.0,362.95,1.2,8.0,3220.0,595.0,0.0,540.0,,400.0,,
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",23-07-2000,1801.0,27.0,96.0,81.6,403.0,125.0,638.0,16.0,0.0,320.25,1.5,8.0,3100.0,525.0,0.0,580.0,,240.0,,
HP2CBE30,Tirupur,Madathukulam,Metrathi,"10°39'20""","77°20'20""",23-07-2000,862.0,28.0,88.0,28.8,161.0,5.0,160.0,144.0,66.0,187.9,0.82,8.4,1350.0,255.0,55.0,340.0,,220.0,,
HP2CBE32,Tirupur,Madathukulam,Madathukulam,"10°33'30""","77°22'00""",23-07-2000,370.0,1.0,40.0,12.0,78.0,16.0,50.0,19.0,42.0,202.3,2.5,8.8,640.0,245.0,35.0,150.0,,100.0,,
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",24-07-2000,323.0,1.0,30.0,24.0,58.0,8.0,35.0,10.0,30.0,219.5,0.77,8.3,610.0,250.0,25.0,175.0,,75.0,,
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",18-01-2001,,130.0,,,,,131.0,,,,,8.2,840.0,,,,,,0.0,
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",18-01-2001,,65.0,,,,,85.0,,,,,8.5,930.0,,,,,,0.0,
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",20-01-2001,,43.0,,,,,156.0,,,,,8.5,1070.0,,,,,,0.0,
63517,Tirupur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",20-01-2001,,5.0,,,,,82.0,,,,,8.5,780.0,,,,,,0.0,
63542,Tirupur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",20-01-2001,,3.6,,,,,60.0,,,,,8.4,630.0,,,,,,0.0,
63502,Tirupur,Dharapuram,Dasarapatty,"10°40'50""","77°21'35""",21-01-2001,,7.3,,,,,64.0,,,,,8.3,620.0,,,,,,0.0,
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",21-01-2001,,7.0,,,,,124.0,,,,,8.4,1050.0,,,,,,0.0,
63512,Tirupur,Dharapuram,Sadayapalayam,"10°48'15""","77°22'40""",21-01-2001,,4.5,,,,,922.0,,,,,8.4,3870.0,,,,,,0.0,
63522,Tirupur,Dharapuram,Mulanur,"10°47'40""","77°42'25""",21-01-2001,,56.0,,,,,808.0,,,,,8.5,3820.0,,,,,,0.0,
63534,Tirupur,Dharapuram,Anaipudur,"10°52'30""","77°35'55""",21-01-2001,,7.3,,,,,82.0,,,,,8.8,760.0,,,,,,0.0,
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",25-01-2001,,70.0,,,,,103.0,,,,,8.4,1020.0,,,,,,0.0,
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",18-04-2001,,78.0,,,,,131.0,,,,,8.3,1070.0,,,,,,0.0,
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",18-04-2001,,21.0,,,,,43.0,,,,,8.1,690.0,,,,,,0.0,
63522,Tirupur,Dharapuram,Mulanur,"10°47'40""","77°42'25""",21-04-2001,,326.0,,,,,425.0,,,,,7.9,2360.0,,,,,,0.0,
63542,Tirupur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",21-04-2001,,124.0,,,,,574.0,,,,,8.3,2640.0,,,,,,0.0,
63502,Tirupur,Dharapuram,Dasarapatty,"10°40'50""","77°21'35""",22-04-2001,,7.0,,,,,53.0,,,,,8.1,640.0,,,,,,0.0,
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",22-04-2001,,,,,,,16.0,,,,,8.6,620.0,,,,,,0.0,
63512,Tirupur,Dharapuram,Sadayapalayam,"10°48'15""","77°22'40""",22-04-2001,,65.0,,,,,57.0,,,,,8.3,610.0,,,,,,0.0,
63517,Tirupur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",22-04-2001,,357.0,,,,,432.0,,,,,8.0,2340.0,,,,,,0.0,
63534,Tirupur,Dharapuram,Anaipudur,"10°52'30""","77°35'55""",22-04-2001,,25.0,,,,,53.0,,,,,8.3,550.0,,,,,,0.0,
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",23-04-2001,,74.0,,,,,57.0,,,,,8.3,1080.0,,,,,,0.0,
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",24-04-2001,,9.0,,,,,43.0,,,,,8.2,630.0,,,,,,0.0,
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",06-07-2001,3978.0,39.0,,,374.0,25.0,1886.0,576.0,,,0.21,7.9,6980.0,170.0,0.0,2620.0,,860.0,0.0,96.21816
HP1CBE04,Tirupur,Palladam,Pulliappampalayam,"10°56'00""","77°16'30""",09-07-2001,4756.0,24.0,,,909.0,96.0,2028.0,804.0,,,0.64,7.5,6940.0,165.0,0.0,2100.0,,980.0,0.0,94.15318
63405,Tirupur,Tirupur,Vavipalayam,"10°52'20""","77°17'05""",09-07-2001,531.5,14.0,,,69.0,11.0,71.0,94.0,,,0.25,7.7,940.0,170.0,0.0,370.0,,200.0,0.0,91.42948
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",10-07-2001,4518.0,150.0,,,932.0,196.0,1276.0,900.0,,,0.76,7.8,6960.0,210.0,0.0,1200.0,,400.0,0.0,88.99516
HP1E11,Tirupur,Avinahsi,Timmanaickanpalayam,"11°09'00""","77°25'30""",21-07-2001,355.4,13.0,32.0,46.8,23.0,11.0,64.0,21.0,30.0,134.5,0.72,8.3,620.0,165.0,25.0,275.0,0.6061611,80.0,0.0,14.86585
HP2CBE31,Tirupur,Madathukulam,Kallapuram,"10°26'30""","77°18'25""",21-07-2001,488.4,2.0,,,46.0,65.0,18.0,74.0,,,0.46,8.8,680.0,250.0,40.0,165.0,,140.0,0.0,54.61885
HP2E10,Tirupur,Kangeyam,Keeranur,"11°04'40""","77°33'00""",21-07-2001,1122.0,4.0,70.0,78.0,207.0,37.0,262.0,197.0,42.0,372.3,0.87,8.3,1850.0,415.0,35.0,500.0,4.044585,175.0,0.0,45.33249
HP2E13,Tirupur,Kangeyam,Manur,"11°06'40""","77°28'00""",21-07-2001,977.6,4.0,24.0,69.6,196.0,36.0,252.0,173.0,54.0,290.1,0.9,8.5,1620.0,345.0,45.0,350.0,4.581713,60.0,0.0,52.07627
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",21-07-2001,4083.0,39.0,,,437.0,27.0,1914.0,564.0,,,0.54,7.6,6980.0,220.0,0.0,2660.0,,880.0,0.0,96.49441
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",21-07-2001,3936.0,61.0,,,334.0,29.0,1375.0,888.0,,,3.0,7.5,6440.0,275.0,0.0,2460.0,,1460.0,0.0,95.1426
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",21-07-2001,861.0,39.0,,,87.0,10.0,223.0,46.0,,,0.31,7.9,1360.0,235.0,0.0,490.0,,100.0,0.0,93.66925
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",21-07-2001,416.3,2.0,,,53.0,9.0,43.0,24.0,,,0.54,8.2,640.0,250.0,0.0,200.0,,80.0,0.0,90.92157
