Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,2,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,2,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,2,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,2,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,1,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,2,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,3,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,4,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,5,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,6,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,8,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,9,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,10,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,11,12.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,12,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,13,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,14,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,15,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,16,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,17,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,18,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,19,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,22,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,23,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,24,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,29,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,30,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,3,31,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,1,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,2,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,3,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,4,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,5,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,6,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,8,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,4,9,0.00
