Well No,Type,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Grid E,Grid N,Site ID,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Well Depth ,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue
63575,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Mettupalayam,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,11.07,77.81111,,,NF,Domestic,,PE,FALSE,,On the road side mariyamman temple,17.60000038,0.680000007,162,FALSE,,,Archean,Manthapuram,24-04-2003,,Rural,,NO
63576,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Sivanmalai,,,Panchayat,,002,Amaravathi,Kangeyam,Cha,PE,58E12,11.03246,77.53673,,,F,Domestic,,PE,FALSE,,NEAR Sivanmalai kovil sangam,28.95000076,0.850000024,323,FALSE,,,Archean,Sivanmalai,27-04-2003,,Rural,,NO
63584,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Alambadi,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58F9,10.92138,77.59804,,,F,Domestic,,PE,FALSE,,In front of pillayar kovil,17.64999962,0.730000019,248,FALSE,,,Archean,Puvanallur,24-04-2003,,Rural,,NO
63585,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,Panchayat,,002,Amaravathi,Vellaovil,GNS,PE,58F9,10.93659,77.65285,,,NF,Domestic,,PE,FALSE,,In front of mariyamman kovil,26.60000038,0.870000005,242,FALSE,,,Archean,Selambakavundan,24-04-2003,,Rural,,NO
63586,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Uthama Palayam,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.91681,77.68485,,,F,Domestic,,PE,FALSE,,Near palaniandavar kovil,18.20000076,0.769999981,232,FALSE,,,Archean,Pachakavandan V,24-04-2003,,Rural,,NO
63587,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Uthama Palayam,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.89728,77.67103,,,F,Domestic,,PE,FALSE,,In front of kamachiamman kovil,25.17000008,0.870000005,215,FALSE,,,Archean,Thasanaickenpat,24-04-2003,,Rural,,NO
63588,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.88819,77.71946,,,F,Domestic,,pe,FALSE,,Near animal husbensery Building,23.06999969,0.850000024,193,FALSE,,,Archean,Subramaiankavun,24-04-2003,,Rural,,NO
63589,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Padiyur,,,panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58E13,11.08675,77.4757,,,F,Domestic,,PE,FALSE,,LEFT SIDE OF THE KANGEYAN UTHUKULI MAIN ROAD,22.70000076,0.899999976,284,FALSE,,,Archean,Sivagiripudur,24-04-2003,,Rural,,No
63590,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.98688,77.69118,,,F,Domestic,,PE,FALSE,,in the middle of village,23.14999962,0.800000012,250,FALSE,,,Archean,Veppampalayam,24-04-2003,,Rural,,NO
63429-A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Ganapathipalayam,,,Panchayat,,002,amaravathy,amaravathy,GNS,PE,58E8,11.03495,77.33849,,,F,Domestic,Nil,PE,FALSE,No,AD Colony,16.70000076,0.800000012,347,FALSE,,,Archaean,Ganapathipalaya,,,Rural,,
