Well No,Type,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Grid E,Grid N,Site ID,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Well Depth ,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue
63563,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Lakkamanayakkanpatty,,,Public,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.89626,77.64384,,,F,Domestic,,PE,FALSE,,In middle of village,16.89999962,0.660000026,226,FALSE,,,Archean,Kavilipalayam,04-10-2011,,Rural,,NO
63564,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Pachapalayam,,,Public,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.97215,77.65299,,,F,Domestic,,PE,FALSE,,In middle of village,23.89999962,0.829999983,273,FALSE,,,Archean,Poosarivalasu,05-10-2011,,Rural,,NO
63565,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Uddaiam,,,Public,,002,Amaravathi,Vellakovil,GNS,PE,58F9,11.02697,77.78259,,,F,Domestic,,PE,FALSE,,Near OHT,18.76000023,0.889999986,203,FALSE,,,ARCHEAN,Udaiyam,05-10-2011,,Rural,,NO
63566,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kundadam,Alambadi,,,Public,,002,Amaravathi,Kangeyam,GNS,PE,58F5,10.91668,77.58327,,,F,Domestic,,PE,FALSE,,In middle of village,19.42000008,0.899999976,258,FALSE,,,Archean,Velayuthampalay,01-10-2011,,Rural,,NO
63567,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Vellakoil,Alampalayam,,,Public,,002,Amaravathi,Kundadam,GNS,PE,58F5,10.88487,77.54714,,,F,Domestic,,PE,FALSE,,In front of School,27.64999962,0.870000005,260,FALSE,,,Archean,Valasupalayam,03-10-2011,,Rural,Every month,NO
63568,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Padiyur,,,Public,,002,Amaravathi,Kangeyam,GNS,PE,58E8,11.06404,77.48973,,,F,Domestic,,pe,FALSE,,West side of the village left side the road,15.10000038,0.769999981,296,FALSE,,,Archean,Padiyur,27-04-2003,,Rural,,NO
63569,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Nathakadiyur,,,Public,,002,Amaravathi,Kangeyam,GNS,PE,58E12,11.08747,77.66286,,,F,Domestic,,PE,FALSE,,Near the OHT,19.20000076,1.139999986,219,FALSE,,,Arechean,Nathakadiyur,25-04-2003,,Rural,,NO
63577,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Alambadi,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58E12,11.03141,77.56908,,,F,Domestic,,PE,FALSE,,Near pds shop,31.20999908,1.200000048,304,FALSE,,,Archean,Neickaranpalaya,27-04-2003,,Rural,,NO
63578,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Sivanmalai,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58E12,11.08621,77.52835,,,F,Domestic,,PE,FALSE,,In front of muniyappan kovil,24.29999924,1,262,FALSE,,,Archean,Chellappampalay,27-04-2003,,Rural,,NO
63579,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Nathakadiyur,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58E12,11.02417,77.63071,,,F,Domestic,,PE,FALSE,,Near OHT,19.39999962,1.350000024,283,FALSE,,,Archean,Pappini,25-04-2003,,Rural,,NO
63580,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,National highway,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.94547,77.71706,,,F,Domestic,,PE,FALSE,,Inside of the Office,22.35000038,0.699999988,233,FALSE,,,Archean,Vellakoil,24-04-2003,,Rural,,NO
63581,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Kangeyam,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58E13,11.00586,77.5603,,,F,Domestic,,PE,FALSE,,In front of GH,24.89999962,0.870000005,310,FALSE,,,ARCHEAN,Kangeyam,25-04-2003,,Rural,,NO
63582,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Kangeyam,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58F9,10.96065,77.57368,,,F,Domestic,,PE,FALSE,,In front of mariyamman kovil,21.60000038,0.75,279,FALSE,,,Aechean,Sedankalipalaya,24-04-2003,,Rural,,NO
63583,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Kangeyam,,,Panchayat,,002,Amaravathi,Kangeyam,GNS,PE,58F9,10.95135,77.60386,,,F,Domestic,,PE,FALSE,,Near pillayar kovil,19.29999924,0.75,260,FALSE,,,Archean,Palayapudur,27-04-2003,,Rural,,NO
63591,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,10.89352,77.75404,,,F,Domestic,,PE,FALSE,,In middle of the village,12,0.899999976,196,FALSE,,,Archean,Sundaradivalasu,24-04-2003,,Rural,,no
63592,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,pe,58F9,10.87848,77.74285,,,F,Domestic,,PE,FALSE,,In Middle of Village,12.10000038,1.100000024,190,FALSE,,,Archean,Mottakalivalasu,24-04-2003,,Rural,,NO
63593,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Mangalapatti,,,Panchayat,,002,Amaravathi,Vellakovil,GNS,PE,58F9,11.00747,77.75604,,,F,Domestic,,PE,FALSE,,With in the kaliyamman kovil,17.95000076,0.699999988,230,FALSE,,,Archean,Mangalpatti,24-04-2003,,Rural,,NO
63594,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Nelali,,,Panchayat,,002,Amaravathi,Kangeym,GNS,PE,58E13,10.91631,77.48634,,,F,Domestic,,PE,FALSE,,In the harijana colony,22.29999924,0.899999976,308,FALSE,,,Archean,Goundampalayam,25-04-2003,,Rural,,NO
63595,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Sivanmalai,,,Panchayat,,002,Amaravathi,Kaangeyam,GNS,PE,58E13,10.97519,77.51308,,,F,Domestic,,PE,FALSE,,Near harijana colony,21.12000084,0.800000012,298,FALSE,,,Archean,Kadalaikattupud,25-04-2003,,Rural,,NO
63596,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kundadam,Uthiyur,,,Panchayat,,002,Amaravathi,Kundadam,GNS,PE,58F9,10.93076,77.53296,,,F,Domestic,,PE,FALSE,,Eastern side of kangayam dharapuram main road,23.20000076,0.75,291,FALSE,,,Archean,Pdupalayam,24-04-2003,,,Every month,NO
63801,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Amanthakadavu,,,Panchayat,,002,Amaravathy,Amaravathy,GGN,PE,58F02,10.72937,77.17026,,,F,Public Supply,Nil,PE,FALSE,No,"On the main road, southern side of Ramchandrapuram.",26.79999924,1,351,FALSE,,,Archaean,Ramachandrapura,,,Rural,,
63802,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Somavarapatty,,,Private(palaiapa Chettiar,WELL CLOSED SINCE 11/2003,002,A2,Amaravathy,GGN,PE,58F02,10.73422,77.24536,,,F,Public Supply,Nil,PE,FALSE,No,Negammam - Periyapatti road. In between 3/6 and 3/8 km stone.,21.10000038,0.75,327,FALSE,,,Archaean,Ammapatty,,,Rural,,
63803,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Kondampatty,,,Panchayat,,002,A2,Amaravathy,GGN,PE,58F06,10.73964,77.2758,,,F,Public Supply,Nil,PE,FALSE,No,Right side of the Negamam - Periyapatti road.,15.39999962,0.800000012,324,FALSE,,,Archaen,Velayuthagounda,,,Rural,,
63804A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Gudimangalam,,,Panchayat,,002,Amaravathy,Amaravathi,CNK,PE,58F06,10.69538,77.2816,,,F,Domestic,Nil,PE,FALSE,No,Near Police station,25.20000076,0.800000012,343,FALSE,,,Archaean,Gudimangalam,,,Rural,,
63805,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Ponneri,,,Panchayat,,002,A5,Amaravathy,GNS,PE,58F06,10.64025,77.26722,,,F,Public Supply,Nil,PE,FALSE,No,Left side of Udumalpet - palladam road.,13.19999981,0.850000024,347,FALSE,,,Archaean,Ponneri,,,Rural,,
63806,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Kongal Nagaram,,,Private(munusamy Konar),,002,A2,Amaravathy,GGN,PE,58F02,10.67827,77.20261,,,F,Irrigation,Nil,PE,FALSE,No,Right side of the Dharapuram - Pollachi road opposite to 31/2 Km stone.,13.19999981,0.079999998,362,FALSE,,,Archaean,Kongalnagaram,,,Rural,,
63807,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Kongal Nagaram,,,Panchayat,,002,A2,Amaravathy,GGN,PE,58F02,10.67518,77.16128,,,F,Public Supply,Nil,PE,FALSE,No,Near 42/4 km stone along Dharapuram - Pollachi road.,22.5,0.800000012,385,FALSE,,,Archaean,Puduppalayam,,,Rural,,
63813,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,"Thali 1 - 2, Thirumurthy",,,Panchayat,,002,A5,Amaravathy,GNS,PE,58F02,10.51134,77.18965,,,F,Public Supply,Nil,PE,FALSE,NoNo,Opposite to the Panchayat office Dhali - Thirumurthi dam road.,8,1,389,FALSE,,,Archaean,Dhali,,,Rural,,
63814,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Kurichikottai,,,Panchayat,WELL CLOSED  SINCE  10/2007,002,A5,Amaravathy,GNS,PE,58F02,10.50891,77.22741,,,F,Public Supply,Nil,PE,FALSE,No,Inside the weekly market.,8,1,383,FALSE,,,Archaean,Kurichikottai,,,Rural,,
63815,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Manupatty,,,Private(panchaksharagr.),,002,A5,Amaravathy,GNS,PE,58F03,10.47024,77.23854,,,F,Domestic,Nil,PE,FALSE,No,On the right side of the Udumalpet - Amaravathy nagar road in between 14/8 and 14/6 km stones.,8.699999809,0.5,388,FALSE,,,Archaean,Manupatti,,,Rural,,
63816,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Andikondanur 1,,,Panchayat,,002,A5,Amaravathy,GNS,PE,58F07,10.49885,77.29062,,,F,Public Supply,Nil,PE,FALSE,No,Near the Junction of Udumalpet Dhali Komarlingam roads.,13,0.75,349,FALSE,,,Archaean,Perisanampatti,,,Rural,,
63817A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Komaralingam -E,,,Panchayat,,002,amaravathy,amaravathy,GNS,PE,58F07,10.4886,77.35562,,,F,Domestic,Nil,PE,FALSE,No,Inside PWD Campus,7.599999905,0.800000012,313,FALSE,,,Archaean,Komaralingam Ea,,,Rural,,
63818A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Thanthoni,,,Panchayat,,002,amaravathy,amaravathy,GNS,PE,58F06,10.53391,77.35966,,,F,Domestic,Nil,PE,FALSE,No,12th ward AD Colony,13.5,0.75,307,FALSE,,,Archaean,Neelambur,,,Rural,,
63819,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Karathozhuluvu,,,Koil Well,,002,A5,Amaravathy,GGN,PE,58F06,10.62456,77.37462,,,F,Domestic,Nil,PE,FALSE,No,Pachchai Kondhayee koil Junctionof Three roads.,8,0.649999976,286,FALSE,,,Archaean,Karatholuvu,,,Rural,,
63820A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Thungavi 1-2,,,Panchayat,,002,amaravathy,amaravathy,GNS,PE,58F06,10.62609,77.32948,,,F,Domestic,Nil,PE,FALSE,No,opp to EB offive,18.5,0.75,337,FALSE,,,Archaean,Thungavi,,,Rural,,
63821,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Kannamanaickenur 1 - 2,,,Panchayat,,002,A5,Amaravathy,GNS,PE,58F06,10.57955,77.30103,,,F,Public Supply,Nil,PE,FALSE,No,100 feet left side of Udumalpet - Dindugal road.,18.10000038,0.850000024,345,FALSE,,,Archaean,Palappampatty,,,Rural,,
63822,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Gudimangalam,Kongal Nagaram,,,Panchayat,,002,Amaravathy,Amaravathy,CNK,PE,58F06,10.775,77.18417,,,F,Domestic,Nil,PE,FALSE,No,Near vagatholuvu hamlet elementry school towards arasur road,16.29999924,0.75,370,FALSE,,,Archaean,Sangamanaickenp,,,Rural,,
63823,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Myvadi 1-2,,,Panchayat  Well,,002,Amaravathy,Amaravathy,CNK,PE,58F06,10.59854,77.31819,,,F,Domestic,Nil,PE,FALSE,No,Infort  of maivadi  panchayat  office,10.10000038,0.850000024,339,FALSE,,,Archaean,Maivadi,,,Rural,,
63831,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Periyavalavadi,,,Panchayat,,002,Amaravathy,Amaravathy,CNK,PE,58F2,10.53223,77.15597,,,F,Domestic,Nil,PE,FALSE,No,Right  side of the boad,14.30000019,0.699999988,393,FALSE,,,Archaean,Deepalapatti,,,Rural,,
63832,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Periyavalavadi,,,Panchayat,,002,Amaravathy,Amaravathy,CNK,PE,58F2,10.54751,77.18323,,,F,Domestic,Nil,PE,FALSE,No,Opposite to vocational Training Institute,19.79999924,0.800000012,381,FALSE,,,Archaean,Periya Valavadi,,,Rural,,
HP II-03,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Avanashi,Rakkiyampalayam,,,Tn-pwd,,002,Noyyal,Noyyal3,GNS,PE,58E3,11.16014,77.28602,,,F,Piezometer,Low,PE,FALSE,Nil,Government Middle School,65,0.600000024,324,FALSE,,,Archean,Rakkiyapalyam,,,Rural,,
HP-II-02,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Tiruppur South,Tiruppur,Mangalam,,,,,,,,,,,11.09598,77.2687,,,F,,,,FALSE,,,56,0.600000024,327,FALSE,,,,Mangalam,,,,,
HP1CTR04,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Palladam,Sitrambalam,Pullippampalayam,314,TNGWD,,002,Noyyal,Noyyal3,GNS,PE,58F05,10.93449,77.27736,,,F,Monitoring,Nil,PE,FALSE,Nil,The point lies North of the OHT and West of the OBWEll NO: 63413.,38.59999847,0.600000024,404,TRUE,014429,Greenspan,Archaean,Pulliappampalay,,,Rural,,
HP1ETR10,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Vellakoil,,334A,TNGWD,blocked,002,Amaravathy,Amaravathy II,GNS,PE,58F09,10.94754,77.71079,,,F,Monitoring,Marginal,PE,FALSE,Nil,The point lies in the premises of Veera kumarasamy Temple East of Temple Car at Vellakoil.,60,0.600000024,236,FALSE,,,Archaean,Vellakoil,,,Rural,,
HP1ETR11,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Sar. Periyapalayam,Timmanaickanpalayam,229,TNGWD,,002,Noyyal,Noyyal IV,CNK,PE,58E08,11.1511,77.4223,,,F,Monitoring,Low,PE,FALSE,Nil,The point lies North of the Panchayat Elementary School and South of the Control Well.,33.79999924,0.600000024,289,TRUE,014503,Greenspan,Archaean,Timmanaickanpal,,,Rural,,
HP1ETR13A,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Uthukuli,Uthukuli,Vellaravalli,Papavalasu,,TN-GWD,,,,,,,58E7,11.26732,77.45344,,,F,Monitoring,,,FALSE,,"Panchayat Union Middle School
Play Ground",49.29999924,0.600000024,306,FALSE,,,,Vellaravelli,,,,,
HP2CTR02,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Avanashi,Sevur,Sevur,229-2,TNGWD,stone filled since 1999,002,Noyyal,Noyyal3,GNS,PE,58E04,11.24477,77.23729,,,F,Monitoring,Nil,PE,FALSE,Nil,The point lies West of Panchayat office buildings.,66.5,0.600000024,357,FALSE,,,Archaean,Sevur,,,Rural,,
HP2CTR04,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Avanashi,Thathanur.,Thathanur,166,TNGWD,Not working since 7/2002.Resetting the logger.,002,Noyyal,Noyyal3,GNS,PE,58E07,11.31936,77.28212,,,F,Monitoring,Nil,PE,FALSE,Nil,The point lies North of the Noon meal centre.,64.90000153,0.600000024,327,TRUE,014474,Greenspan,Archaean,Thathanur,,,Rural,,
HP2CTR19,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Tiruppur South,Tiruppur,Veerapandi,Veerapandi,329,TNGWD,,002,Noyyal,Noyyal4,GNS,PE,58E08,11.06393,77.35122,,,F,Monitoring,Nil,PE,FALSE,Nil,The point lies North of the School Building.,63.79999924,0.600000024,311,TRUE,014416,Greenspan,Archaean,Veerapandi,,,Rural,,
HP2CTR20,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Tiruppur North,Tiruppur,Nerupperichal,Neruperichal,648,TNGWD,,002,Noyyal,Noyyal4,GNS,PE,58E08,11.16069,77.37242,,,F,Monitoring,Nil,PE,FALSE,Nil,The point lies inside the Panchayat office campus.,61.29999924,0.600000024,322,TRUE,013018,Greenspan,Archaean,Neruperichal,,,Rural,,
HP2CTR21(A),PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Palladam,Pongalur,Pongalur,,,,,,,,,,,10.97246,77.36465,,,F,,,,FALSE,,,60,0.610000014,373,FALSE,,,,Pongalur,,,,,
HP2CTR30,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Madathukulam,Madathukulam,Metrathi 1-2,Metrathi,754,TNGWD,Under repair from 15.10.01.Battery down in sensor.,002,Amaravathi,Amaravathy5,CNK,PE,58F06,10.65556,77.33889,,,NF,Monitoring,Nil,PE,TRUE,Amaravathi,The point lies South of the Panchayat School building.,64.80000305,0.600000024,338,TRUE,006114,Greenspan,Archaean,Metrathi,,,Rural,,
HP2CTR31,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Kallapuram,Kallapuram,400/A,TNGWD,Under repair from 17.04.01. Battery down in sensor.,002,Amaravathi,Amaravathy5,CNK,PE,58F07,10.4431,77.29098,,,NF,Monitoring,Low,PE,TRUE,Amaravathi,The point lies inside the Panchayat Office campus and south fo Panchayat office building.,61.29999924,0.600000024,334,TRUE,006428,Greenspan,Archaean,Kallapuram,,,Rural,,
HP2ETR11,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Nathakadiyur,Nattarpalayam,268/1,TNGWD,,002,Noyyal,Noyyal IV,CNK,PE,58E12,11.04514,77.6163,,,F,Monitoring,Low,PE,FALSE,Nil,The point lies inside the premises of Nattarpalayam Panchayat School.,71.19999695,0.600000024,270,TRUE,014495,Greenspan,Archaean,Kanjeerapalayam,,,Rural,,
HP2ETR12,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Rasatha Valasu,,930,TNGWD,,002,Noyyal,Noyyal V,GNS,PE,58E12,11.03653,77.71319,,,F,Monitoring,Low,UN,FALSE,Nil,The Borehole is located in the South Eastern portion of the Rastha valasu Panchayat middle school premises.,61.29999924,0.600000024,225,TRUE,014443,Greenspan,Archaean,Rasathavalasu,,,Rural,,
HP2ETR13 A,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Kathangani,Thottipalayam,,Tngwd,,002,Noyyal,Noyyan IV,,,,11.100995,77.470368,,,F,,,,FALSE,Non Command,Panchayet Union  Elementary School,60.40000153,0.600000024,302,FALSE,,,,Thottipalayam,,,Rural,,
HP2ETR21,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Kundadam,Kundadam,,296/A,TNGWD,,002,Amaravathy,Amaravathy I,GGN,PE,58F09,10.89206,77.52688,,,F,Monitoring,Low,UN,FALSE,Nil,The Borewell is located in the Southern side of the Udiyur Police Station premises.,82,0.600000024,280,TRUE,014444,Greenspan,Archaean,Uthiyur,,,Rural,,
HP2ETR22,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Kundadam,Periya Kumarapalayam,,101,TNGWD,,002,Amaravathy,Amaravathy I,GNS,BP,58F05,10.77627,77.31477,,,F,Monitoring,Low,PE,FALSE,Nil,The Borewell is located inside the Panchayat School Premises of Periakumarapalayam.,60.70000076,0.600000024,309,TRUE,006226,Greenspan,Archaean,Periakumarapala,,,Rural,,
HP2ETR23,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Ponnapuram,,610/B,TNGWD,,002,Amaravathy,Amaravathy II,CNK,PE,58F06,10.70006,77.39078,,,F,Monitoring,Low,PD,FALSE,Nil,The Borewell is located in front of the Ponnapuram VAO office.,71,0.610000014,328,TRUE,006175,Greenspan,Archaean,Ponnapuram,,,Rural,,
HP2ETR28,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Punjaithalaiyur,Orathupalayam,,TNGWD,,002,Amaravathy,Amaravathuy IV,CNK,PE,58F13,10.86557,77.76504,,,NF,Monitoring,Low,UN,FALSE,Nil,The Borewell is located inside the premises of Panchayat Elementary School to the back side of Noon Meals Centre at Orathapalayam village.,70.69999695,0.600000024,187,TRUE,006034,Greenspan,Archaean,Orathupalayam,,,Rural,,
HP2ETR29,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Velamboondi,,1472/A,TNGWD,,002,Amaravathy,Amaravathy IV,CNK,PE,58F13,10.81195,77.87014,,,F,Monitoring,Low,PD,FALSE,Nil,The Borewell is located inside the premises of Panchayat Elementary school at Velampoondi Village.,61.90000153,0.600000024,169,TRUE,006037,Greenspan,Archaean,Velampoondi,,,Rural,,
HP2ETR30,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Vellakoil,Shangarandampalayam,Vadugampatti,175/B,TNGWD,Blocked from 19/2/02,002,Amaravaathy,Amaravathy IV,CNK,PE,58F14,10.74433,77.61059,,,NF,Monitoring,Low,UN,FALSE,Nil,The Borewell is located inside the premises of Govt Veternary Hospital at Vadugapatti,60.90000153,0.600000024,244,TRUE,006307,Greenspan,Archaean,Kumarapalayam,,,Rural,,
HP2ETR30A,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Kilangundal,Vadugapatti,,Tngwd,,002,Amaravathi,Amaravathi IV,,,,10.73196,77.75994,,,F,Monitoring,,,FALSE,Non Command,Government  Veterinary Hospital Campus,120,0.680000007,231,FALSE,,,,Vadugapatti,,,Rural,,
HP2T01,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Vellakoil,Uthama Palayam,,,TNGWD,,002,Amaravathy,amaravathi,CNK,PE,58F09,10.90009,77.67272,,,F,Monitoring,,PE,FALSE,,Inside the mimi meterological station,80,0.649999976,219,FALSE,,,Archaean,Uthamapalayam,,,,,
HP3Tpr01,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Periyavalavadi,Periavalavadi,,,,,,,GNS,,58F07,10.54748,77.18323,,,F,Monitoring,,,FALSE,,,120,0.680000007,381,FALSE,,,,Periavalavadi,,,,,
HP3Tpr02,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Avinashi,Tiruppur,Perumanallur,Perumanallur,,,,,,,GNS,,58E8,11.19727,77.36423,,,F,,,,FALSE,,,120,0.600000024,317,FALSE,,,,Perumanallur,,,,,
HP3TPR03,PZ,Bore Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Kallapuram,,,,,,,,,,,10.42571,77.28536,,,F,,,,FALSE,,,120,0.699999988,0,FALSE,,,,Poochimedu,,,,,
63808,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Devanurputhur,,,Panchayat,,002,A5,Amaravathy,GGN,PE,58F02,10.54866,77.08987,,,F,Public Supply,Nil,PE,FALSE,No,Anamallai - Udumalpet road ( At Chinna pudur),17.10000038,0.800000012,326,FALSE,,,Archaean,Devanampudur,,,Rural,,
63809 A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Kodunkiyam,,,Panchayat,,002,AMARAVATHY,AMARAVATHY,CNK,PE,58F02,10.55462,77.13791,,,F,Public Supply,Nil,PE,FALSE,No,Near the Checkdam Bloeu  Udumalpet      From 200Feet him the Valparai Km Board,20.60000038,0.800000012,363,FALSE,,,Archaean,Salaiyur,,,Rural,,
63810,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Poolankinar,,,Panchayat,,002,A5,Amaravathy,GNS,PE,58F02,10.59241,77.2016,,,F,Public Supply,Nil,PE,FALSE,No,LEFT SIDE OF UDUMALPET POLLACHI ROAD 1/2 KM FROM MUKKONAM BUS STOP,15.69999981,1,375,FALSE,,,Archaean,Chinnapoolankin,,,Rural,,
63811,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Udumalaipettai,,,Esi Quarters,,002,A5,Amaravathy,GNS,PE,58F02,10.57583,77.23944,,,F,Domestic,Nil,PE,FALSE,No,Inside ESI quarters,17.79999924,0.850000024,367,FALSE,,,Archaean,Udumalpet,,,Rural,,
63812A,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Udumalpet,Udumalpet,Pallapalayam,,,Agri Land,,002,amaravathy,amaravathy,GNS,PE,58F02,10.52805,77.21208,,,F,Domestic,Nil,PE,FALSE,No,Near Panjalingam House,13,1.100000024,383,FALSE,,,Archaean,Pallapalayam,,,Rural,,
